video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/FLFHgM-nx0M,/@LARams,Los Angeles Rams,Elite plays vs. Seahawks 🔥 #rams #nfl #shorts,26K,9 hours,Watch the Los Angeles Rams top plays against the Seattle Seahawks this season ahead of Sunday's NFC Championship game in ...,2026-01-22 05:56:15.959608
/shorts/fwCuMZLnI7s,/@Thebillsbunker,The Bills Bunker,What team do Seattle Seahawks fans HATE most??? #seahawks #49ers #nfl #shorts,750K,1 year,What NFL team do Seahawks fans hate the most the 4 wiers mother 49ers that one's easy 49ers Rocky 49ers ners it's got to be the ...,2026-01-22 05:56:15.961542
/watch?v=DAlsND0ogYY&pp=ygUIc2VhaGF3a3M%3D,/@Bollywood_shorts-1m-s,Mahesh MG Gholve,"Pat McAfee predicts NFL Championship: Patriots over Broncos, Maye outplays Stidham, Seahawks advance",13K,12 hours,"Pat McAfee predicts NFL Championship: Patriots over Broncos, Maye outplays Stidham, Seahawks advance.",2026-01-22 05:56:15.964137
/watch?v=QXxCbN48UE8&pp=ygUIc2VhaGF3a3M%3D,/@NFL,NFL,San Francisco 49ers vs. Seattle Seahawks Game Highlights | NFL 2025 Season Divisional,3.8M,4 days,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:56:15.965553
/shorts/9w_mB4jBqXo,/@KING5Seattle,KING 5 Seattle,Seahawks playoff run packs Seattle hotels,689,2 hours,"Seattle hotels are sold out as the Seattle Seahawks advance in the playoffs, with fans booking weeks ahead and waitlists growing ...",2026-01-22 05:56:15.969022
/watch?v=x9nsVH2QzmY&pp=ygUIc2VhaGF3a3M%3D,/@storys.meowia,Storys Meow ,Eli Manning bold predict for NFL Championship Games: Patriots vs Broncos? - Seahawks vs Rams,4.6K,15 hours,GET UP | Eli Manning bold predict for NFL Championship Games: Patriots vs Broncos? - Seahawks vs Rams.,2026-01-22 05:56:15.970247
/shorts/EvP1XmSmr6s,/@Houseofhighlights,House of Highlights,Marshawn builds all-time Seahawks lineup 🐐🔥 ​⁠​⁠@Fanatics,335K,4 months,We're going to build your alltime Seahawks team starting with quarterback Russell also Wilson running back Sean Alexander ...,2026-01-22 05:56:15.971562
/shorts/-amdxJgv-E0,/@TheLineupCast,TheLineup,Why Sam Darnold and the Seahawks can win a Super Bowl… 🏈 #shorts,7.8K,15 hours,Can Sam Darnold and the Seahawks win this weekend's Rams VS Seahawks matchup and take down Matthew Stafford and the ...,2026-01-22 05:56:15.972841
/shorts/KbyCVkDt3Sg,/@SeattleSports710,Seattle Sports,Two Completely Different Receivers Explained | #SeattleSports,3.5K,8 hours,Seattle Sports host Michael Bumpus compares/contrasts Los Angeles Rams WR Puka Nacua with Seattle Seahawks WR Jaxon ...,2026-01-22 05:56:15.974062
/watch?v=w49I-XTeQlY&pp=ygUIc2VhaGF3a3M%3D,/@RichardShermanPod,The Richard Sherman Podcast,"49ers vs. Seahawks NFL Playoff Prediction: Brock Purdy, Sam Darnold, Seattle D | Richard Sherman",82K,5 days,Richard Sherman breaks down the NFC West showdown between the San Francisco 49ers and Seattle Seahawks in the ...,2026-01-22 05:56:15.976668
/shorts/UtnSJpNgcRk,/@RichardShermanPod,The Richard Sherman Podcast,The Seattle Seahawks are “on the MOON” | The Rams are the only thing between them and a SUPER BOWL,56K,1 day,Full episode on the Richard Sherman Podcast!🎙️   All lines provided by @HardRockBet Follow us on social media: ...,2026-01-22 05:56:24.533884
/watch?v=g2XsYYCRO3o&pp=ygUIc2VhaGF3a3M%3D,/@UpAndAdamsShow,Up & Adams Show with Kay Adams,"Kyle Rudolph on Rams-Seahawks, Jarrett Stidham Make Super Bowl Run & Kirk Cousins Stays w/ Falcons?",5K,1 day,"On January 20, 2025 episode of 'Up & Adams Show with Kay Adams' on FanDuel TV, now we are on our way to Conference ...",2026-01-22 05:56:24.538544
/watch?v=3hUBUpkeRvY&pp=ygUIc2VhaGF3a3M%3D,/@NFLonFOX,NFL on FOX,Seahawks Preview NFC Championship matchup against Rams 🏈 NFL on FOX,2.7K,5 hours,"Seahawks' Mike Macdonald, Sam Darnold, and Leonard Williams Preview NFC Championship matchup against Rams ...",2026-01-22 05:56:24.544648
/watch?v=6lkKl2JlGqA&pp=ygUIc2VhaGF3a3M%3D,/@NFL,NFL,Thursday Night Thriller! Los Angeles Rams vs. Seattle Seahawks FULL GAME | NFL 2025 Season Week 16,536K,4 weeks,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:56:24.546650
/watch?v=4r0OiMB6O2w&pp=ygUIc2VhaGF3a3M%3D,/@all_22_films,All_22_Films,CAN KENNETH WALKER CARRY SEATTLE TO THE SUPER BOWL? SEAHAWKS/RAMS NFC CHAMPIONSHIP PREVIEW #1,1.1K,8 hours,seahawks #seattleseahawks #seattle #nfl #football #rams #losangelesrams #nflfootball #nflplayoffs #nfcchampionship ...,2026-01-22 05:56:24.550544
/shorts/Ej_VvlwLex8,/@GMA,Good Morning America,Seattle superfan Chris Pratt thinks the Seahawks are going all the way!,16K,1 day,Seattle superfan Chris Pratt thinks the Seahawks are going all the way! He's ready to help out as part of the 12th man this ...,2026-01-22 05:56:24.551842
/watch?v=Xtd9iivrEKI&pp=ygUIc2VhaGF3a3M%3D,/@UpAndAdamsShow,Up & Adams Show with Kay Adams,Packers WR Romeo Doubs! Rob Gronkowski on Patriots-Broncos & Rams-Seahawks!,3.2K,Streamed 12 hours,"On January 21, 2025 episode of 'Up & Adams Show with Kay Adams' on FanDuel TV, Monday Tuesday Gronk Day! 4-time Super ...",2026-01-22 05:56:24.555261
/watch?v=OoY_iZSjgZM&pp=ygUIc2VhaGF3a3M%3D,/@BussinWithTheBoys,Bussin' With The Boys,NFL Conference Championship Picks: Can Rams Upset Seahawks? + Do Broncos Have A Shot vs. Patriots?,7.5K,5 hours,"Welcome back to The Locker Room with Clay Matthews, Delanie Walker, Will Compton, & Taylor Lewan! This week, we dive into ...",2026-01-22 05:56:24.557411
/shorts/Yd2_CgE0w6E,/@SeattleSports710,Seattle Sports,Consistency is key for #Seahawks + NFC Championship Injury Updates | Seahawks Insider,6.5K,6 hours,Seahawks Insider Jen Mueller (@TalkSportyToMe) shares her report recapping what the Seattle Seahawks said in preparation for ...,2026-01-22 05:56:24.558934
/watch?v=fLp4EZ7y9UU&pp=ygUIc2VhaGF3a3M%3D,/@ProFootballFocus,Pro Football Focus,San Francisco 49ers vs. Seattle Seahawks Review | PFF Grade Release Show,20K,2 days,PFF's Trevor Sikkema and Dalton Wasserman review the matchup between The San Francisco 49ers and The Seattle Seahawks.,2026-01-22 05:56:24.560487
/watch?v=d-KzATo2G4I&pp=ygUIc2VhaGF3a3PSBwkJhwoBhyohjO8%3D,/@fox13seattle,FOX 13 Seattle,Seahawks fans prepare for NFC Championship game | FOX 13 Seattle,16K,2 days,The Seahawks take on the Rams this Sunday as the Hawks continue their road to Super Bowl LX. The 12s are confident the ...,2026-01-22 05:56:24.561838
/watch?v=kzU82kNBn9I&pp=ygUIc2VhaGF3a3M%3D,/@NightcapShow_,Nightcap,"Unc & Ocho SHOCKED Seahawks DOMINATED 49ers & Lock Up #1 Seed, how far will Seattle go? | Nightcap",154K,2 weeks,"Shannon Sharpe and Chad ""Ochocinco"" Johnson react to Sam Darnold and the Seattle Seahawks defeating Brock Purdy and the ...",2026-01-22 05:56:34.500411
/shorts/Vi_7CNIiDUM,/@AllTheSmokeProductions,ALL THE SMOKE,The Seahawks Play Seattle Still Thinks About,29K,1 day,Super Bowl XLIX still lingers in Seattle. Marshawn Lynch on the one play with Russell Wilson that changed everything.,2026-01-22 05:56:34.503313
/watch?v=sJG4scMG98g&pp=ygUIc2VhaGF3a3M%3D,/@Bollywood_shorts-1m-s,Mahesh MG Gholve,Stephen A. calls Seahawks vs Rams an early Super Bowl and says Sam Darnold will be the winner,6K,1 day,Stephen A. calls Seahawks vs Rams an early Super Bowl and says Sam Darnold will be the winner.,2026-01-22 05:56:34.504877
/shorts/nJ52UgDhyDI,/@KING5Seattle,KING 5 Seattle,Who will raise the 12 Flag at the NFC Championship game Sunday?,20K,1 day,"Late owner Paul Allen raised the flag for every NFC Championship game in Seahawks history. With his passing in 2018, who will ...",2026-01-22 05:56:34.506176
/watch?v=LFObJPvOypQ&pp=ygUIc2VhaGF3a3M%3D,/@LeekOn1,Leek,NOT LIKE THIS! San Francisco 49ers vs. Seattle Seahawks Game Highlights NFL 2025 Divisional REACTION,22K,4 days,Welcome To On1: Twitch - Live EVERY Day https://www.twitch.tv/leekkon1 Instagram - https://www.instagram.com/leekkon1/ ...,2026-01-22 05:56:34.507854
/watch?v=hMVINiT9M20&pp=ygUIc2VhaGF3a3M%3D,/@SeahawksBrendonNelson,Seahawks Brendon Nelson,Seattle Seahawks 2026 Mock Draft Version 4.0,1.3K,12 hours,Use promo code SBN on Sleeper and get 100% match up to $100! https://Sleeper.com/promo/SBN. Terms and conditions apply.,2026-01-22 05:56:34.509184
/watch?v=IpGYe4yCuLM&pp=ygUIc2VhaGF3a3M%3D,/@FirstThingsFirst,First Things First,"Seahawks vs. 49ers a MUST WIN for Sam Darnold, Are the Ravens the best job opening? | FTF",240K,7 days,"The Baltimore Ravens and Pittsburgh Steelers are both without head coaches, and Nick Wright lists the best head coach ...",2026-01-22 05:56:34.510521
/shorts/_0w3QQHkXZQ,/@ESPNNFL,NFL on ESPN,Peter Schrager on the Rams-Seahawks NFC Championship matchup 🏆,17K,2 days,Subscribe to ESPN Unlimited: https://plus.espn.com/nfl #ESPN.,2026-01-22 05:56:34.511679
/watch?v=0QtdPfsBlwk&pp=ygUIc2VhaGF3a3M%3D,/@RichardShermanPod,The Richard Sherman Podcast,49ers-Seahawks REACTION: Seattle dominate San Fran & Bills-Broncos ends in controversy | Sherman,114K,3 days,"Richard Sherman shares his excitement over an explosive Saturday Divisional Round, where the Seattle Seahawks completely ...",2026-01-22 05:56:34.513249
/watch?v=eNIz2TnnGlw&pp=ygUIc2VhaGF3a3M%3D,/@SeahawksCollective,Seahawks Collective,SEAHAWKS SIGHTS on the SUPER BOWL!,10K,Streamed 1 day,Order your own pair of DUER's – the world's most comfortable pants! Get 15% off sitewide when you order from ...,2026-01-22 05:56:34.514682
/watch?v=_fnBd9useqk&pp=ygUIc2VhaGF3a3PSBwkJhwoBhyohjO8%3D,/@Bollywood_shorts-1m-s,Mahesh MG Gholve,This was a MASSACRE! – ESPN GOES WILD as Seahawks obliterate helpless Niners 41-6 in playoffs,211K,4 days,This was a MASSACRE! – ESPN GOES WILD as Seahawks obliterate helpless Niners 41-6 in playoffs.,2026-01-22 05:56:34.516533
/watch?v=M6D1Sh8mcqs&pp=ygUIc2VhaGF3a3M%3D,/@SeattleSports710,Seattle Sports,"Breaking: Zach Charbonnet OUT w/ Knee Injury, What #Seahawks Do Next | #SeattleSports",9.7K,2 days,Hosts Michael Bumpus and Stacy Rost (Bump & Stacy) react to the breaking news of Seahawks RB Zach Charbonnet being done ...,2026-01-22 05:56:34.518206
/watch?v=wjJavitDEcg&pp=ygUIc2VhaGF3a3M%3D,/@LockedOnSeahawks,Locked On Seahawks,SEAHAWKS SQUAD SHOW: NFC Championship Preview vs LOS ANGELES RAMS,372,Streamed 2 hours,"Anders, Turbo, and Rob break down the 3rd matchup of the season between the Seahawks and Rams. Can the Seahawks go to ...",2026-01-22 05:56:34.519366
/watch?v=4LMfajFVKb0&pp=ygUIc2VhaGF3a3M%3D,/@NFLonCBS,NFL on CBS,Can anyone beat the Seahawks in the NFC? | The NFL Today,147K,2 weeks,"Nate Burleson, Bill Cowher, and Matt Ryan discuss the biggest threats to the Seahawks after they locked up the 1-seed in the NFC ...",2026-01-22 05:56:34.520689
/watch?v=sB-VLRqxrfc&pp=ygUIc2VhaGF3a3M%3D,/@NotYourAverageFlight,NotYourAverageFlight,FlightReacts To 49ers vs. Seattle Seahawks Game Highlights | NFL 2025 Season Divisional!,147K,3 days,NEW SONG OUT NOW! https://www.youtube.com/watch?v=-pgEUPQ9yFw LETS GET 6 Million TOGETHER! Be sure to sub ...,2026-01-22 05:56:34.522162
/watch?v=KEUuJNXuaMs&pp=ygUIc2VhaGF3a3M%3D,/@Seahawks,Seattle Seahawks,Darkside | The Sound of the Seahawks: S4 Ep.9 | Presented by T-Mobile,226K,12 days,"With the regular season nearing its end, the Seahawks head to Carolina and secure a 27–10 road win over the Panthers, staying ...",2026-01-22 05:56:34.523569
/watch?v=pbTXj-vCXgI&pp=ygUIc2VhaGF3a3M%3D,/@SeattleSports710,Seattle Sports,Colin Cowherd Breaks Down 49ers vs #Seahawks NFC Divisional Matchup | #SeattleSports,35K,6 days,Fox Sports host of 'The Herd' Colin Cowherd joins Brock Huard & Mike Salk (Brock & Salk) to preview the Seattle Seahawks vs ...,2026-01-22 05:56:34.525454
/shorts/rIEAhetggms,/@KING5Seattle,KING 5 Seattle,Update on Darnold's health ahead of Seahawks NFC Championship game,3K,5 hours,Mike Macdonald and Sam Darnold gave an update on the Seahawks quarterback's health ahead of Sunday's NFC Championship ...,2026-01-22 05:56:34.526652
/shorts/bKwebefeHow,/@hawkblogger,Hawk Blogger,Just getting BETTER 🙂‍↕️ #nfl #seattleseahawks #seahawks,56K,1 day,... third and 10 play the double slant to Jake Boowbo And if you remember the first matchup where the Seahawks played the Rams ...,2026-01-22 05:56:34.527807
/watch?v=CbFWk5UsI0A&pp=ygUIc2VhaGF3a3M%3D,/@SeahawksCollective,Seahawks Collective,Why Seahawks Playoff Moments Feel So Special,No,10 hours,Use promo code HMA on Sleeper and get 100% match up to $100! https://Sleeper.com/promo/HMA. Terms and conditions apply.,2026-01-22 05:56:34.528903
