video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=ZSDbzK-vbEs&pp=ygUFNDllcnM%3D,/@huukientomau,Hữu Kiên Tô Màu,"NFL LIVE | 49ers are DONE vs Brandon Aiyuk, Mike McDaniel to Chargers OC, Bills locker room on mess",7.7K,7 hours,"NFL LIVE | 49ers are DONE with Brandon Aiyuk, Mike McDaniel to Chargers OC, Bills on hot mess.",2026-01-22 06:03:01.508833
/watch?v=l8QSbCgWFVc&pp=ygUFNDllcnM%3D,/@DavidLombardi,David Lombardi,"49ers BREAKING: George Kittle good news | Brock Purdy, Mykel Williams FINAL locker room updates",22K,2 days,Join this channel to get access to perks: https://www.youtube.com/channel/UCkDZB2Cy0KiJmvoC-PTfM2A/join 49ers BREAKING: ...,2026-01-22 06:03:01.509937
/shorts/nsw50E_uJjE,/@KING5Seattle,KING 5 Seattle,Seahawks defensive end says atmosphere at Lumen Field was 'insane' against 49ers,2.8K,4 hours,Seahawks defensive end Leonard Williams says the atmosphere at Lumen Field was 'insane' Saturday against the 49ers.,2026-01-22 06:03:01.513401
/watch?v=_XwGqC_NTcE&pp=ygUFNDllcnM%3D,/@TheKruegShow,The Krueg Show,49ers Season Is Over — Here’s The Hard Truth About What Comes Next,21K,2 days,49ers Season Is Over — Here's The Hard Truth About What Comes Next ------------------------------------------------ Use promo code ...,2026-01-22 06:03:01.515380
/watch?v=02H6ITHdzm0&pp=ygUFNDllcnM%3D,/@NBCSAuthentic,NBC Sports Bay Area & California,John Lynch excited about the 49ers' financial flexibility in the offseason | NBC Sports Bay Area,227,6 hours,49ers GM John Lynch and coach Kyle Shanahan speak to reporters on Wednesday to discuss San Francisco's 2025 NFL season ...,2026-01-22 06:03:01.516993
/watch?v=JYU_AKq_AsQ&pp=ygUFNDllcnM%3D,/@LastSecondSports,Last Second Sports,49ers LOSE Saleh Are They Screwed 👀,3K,Streamed 1 day,Show Sponsors: Use promo code LSS on Sleeper and get 100% match up to $100! https://Sleeper.com/promo/LSS Terms and ...,2026-01-22 06:03:01.519594
/watch?v=MSkQs9vk3zo&pp=ygUFNDllcnM%3D,/@DavidLombardi,David Lombardi,49ers BREAKING: Robert Saleh to Tennessee Titans — here's what's next for SF,28K,Streamed 2 days,49ers BREAKING: Robert Saleh to Tennessee Titans.,2026-01-22 06:03:01.522281
/watch?v=DSOPqIJktMg&pp=ygUFNDllcnM%3D,/@bossmanwann2303,BossManWann,"BRING OUT THE YELLOW TAPE!!! ""49ers vs Seahawks 2025 Divisional Round Highlights"" REACTION!",26K,1 day,Reacting to NFL- San Francisco 49ers vs. Seattle Seahawks Game Highlights | NFL 2025 Season Divisional Exclusive Patreon ...,2026-01-22 06:03:01.526480
/watch?v=IpGYe4yCuLM&pp=ygUFNDllcnM%3D,/@FirstThingsFirst,First Things First,"Seahawks vs. 49ers a MUST WIN for Sam Darnold, Are the Ravens the best job opening? | FTF",240K,7 days,"The Baltimore Ravens and Pittsburgh Steelers are both without head coaches, and Nick Wright lists the best head coach ...",2026-01-22 06:03:01.530803
/watch?v=j5vxyxyN27o&pp=ygUFNDllcnM%3D,/@NightcapShow_,Nightcap,Unc & Ocho DEBATE if the 49ers are the KINGS of the NFC as they beat the Bears 42-38! | Nightcap,130K,3 weeks,Shannon Sharpe and Chad “Ochocinco” Johnson react to the San Francisco 49ers edging out the Chicago Bears in a nail-biting ...,2026-01-22 06:03:01.532444
